City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
107,deputatskiy,69.3,139.9,37.18,84,82,4.76,RU,1628961596
108,vardo,70.3705,31.1107,50.14,84,84,3.85,NO,1628961596
109,saint pete beach,27.7253,-82.7412,92.05,60,1,1.99,US,1628961597
110,kosice,48.6667,21.3333,83.32,54,0,4.61,SK,1628961597
111,hamilton,39.1834,-84.5333,83.25,64,90,1.99,US,1628961597
112,balabac,7.9868,117.0645,81.68,79,64,8.21,PH,1628961598
113,bonavista,48.6499,-53.1147,80.6,92,89,8.97,CA,1628961598
114,ostrovnoy,68.0531,39.5131,48.79,86,69,8.95,RU,1628961598
115,lanzhou,36.0564,103.7922,72.68,44,1,4.9,CN,1628961598
116,tuatapere,-46.1333,167.6833,44.82,88,87,5.93,NZ,1628961599
117,oussouye,12.485,-16.5469,89.78,67,100,10.71,SN,1628961599
118,georgetown,5.4112,100.3354,82.33,88,20,0.0,MY,1628961314
119,camana,-16.6228,-72.7111,63.28,76,93,9.6,PE,1628961599
120,torbay,47.6666,-52.7314,78.89,87,75,5.75,CA,1628961600
121,ossora,59.2353,163.0719,53.74,86,23,3.29,RU,1628961600
122,sitka,57.0531,-135.33,57.09,82,90,3.44,US,1628961601
123,saint-augustin,51.226,-58.6502,73.18,73,71,8.9,CA,1628961601
124,bubaque,11.2833,-15.8333,78.33,85,100,15.55,GW,1628961492
125,kaitangata,-46.2817,169.8464,45.55,76,85,12.15,NZ,1628961603
126,kodiak,57.79,-152.4072,54.91,54,40,10.36,US,1628961603
127,okhotsk,59.3833,143.3,55.02,94,8,3.33,RU,1628961604
128,nikolskoye,59.7035,30.7861,67.89,90,94,7.45,RU,1628961604
129,thompson,55.7435,-97.8558,71.76,64,75,6.91,CA,1628961314
130,ayan,56.45,138.1667,64.78,77,56,4.79,RU,1628961604
131,wilmington,34.2257,-77.9447,93.94,67,20,3.44,US,1628961397
132,anadyr,64.75,177.4833,52.3,93,40,6.71,RU,1628961605
133,bengkulu,-3.8004,102.2655,75.99,91,97,4.76,ID,1628961605
134,rocha,-34.4833,-54.3333,55.9,86,100,6.22,UY,1628961605
135,malaryta,51.7905,24.074,75.43,64,88,5.77,BY,1628961606
136,saint-pierre,-21.3393,55.4781,71.28,79,75,19.57,RE,1628961606
137,margate,51.3813,1.3862,74.88,57,52,4.0,GB,1628961606
138,olinda,-8.0089,-34.8553,76.73,69,40,18.41,BR,1628961477
139,dingli,35.8614,14.3822,86.16,58,0,4.61,MT,1628961607
140,kieta,-6.2167,155.6333,79.12,84,100,6.13,PG,1628961607
141,faanui,-16.4833,-151.75,78.13,73,4,5.35,PF,1628961608
142,eppingen,49.1369,8.9103,86.25,51,0,5.35,DE,1628961608
143,molina,-35.1167,-71.2833,46.13,76,90,2.3,CL,1628961608
144,east london,-33.0153,27.9116,58.14,77,0,6.91,ZA,1628961383
145,aginskoye,51.1,114.53,55.27,89,10,2.26,RU,1628961609
146,geraldton,-28.7667,114.6,46.81,100,0,11.5,AU,1628961609
147,warman,52.3168,-106.5679,80.51,32,40,11.5,CA,1628961313
148,vila franca do campo,37.7167,-25.4333,73.81,73,9,14.61,PT,1628961609
149,ushtobe,45.2514,77.9838,63.5,58,59,9.46,KZ,1628961610
150,kachug,53.9606,105.8817,58.44,70,5,2.06,RU,1628961610
151,tucuman,-26.8241,-65.2226,66.2,27,53,6.91,AR,1628961610
152,tabou,4.423,-7.3528,78.91,64,62,7.94,CI,1628961611
153,sinnamary,5.3833,-52.95,82.08,79,46,10.4,GF,1628961611
154,hobyo,5.3505,48.5268,77.47,83,42,28.05,SO,1628961612
155,baglung,28.2719,83.5898,71.82,95,96,1.57,NP,1628961612
156,kachiry,53.0675,76.1036,58.33,68,20,7.31,KZ,1628961612
157,ibra,22.6906,58.5334,91.26,39,63,10.92,OM,1628961612
158,saskylakh,71.9167,114.0833,51.78,63,100,4.65,RU,1628961613
159,necochea,-38.5473,-58.7368,65.03,49,0,9.6,AR,1628961613
160,khatanga,71.9667,102.5,53.28,63,100,4.34,RU,1628961613
161,sretensk,52.2453,117.7093,54.91,82,4,1.79,RU,1628961614
162,sohag,26.557,31.6948,97.83,12,0,12.82,EG,1628961614
163,gogrial,8.5332,28.1004,73.22,88,92,1.45,SS,1628961614
164,oistins,13.0667,-59.5333,80.69,83,40,6.91,BB,1628961615
165,kamenka,51.3223,42.7678,62.04,93,100,11.65,RU,1628961615
166,bluff,-46.6,168.3333,44.8,79,97,25.66,NZ,1628961615
167,sfantu gheorghe,45.8667,25.7833,75.81,44,1,4.5,RO,1628961594
168,maniitsoq,65.4167,-52.9,46.17,98,100,23.69,GL,1628961616
169,lagoa,39.05,-27.9833,74.44,79,32,5.91,PT,1628961616
170,nanchang,28.6833,115.8833,73.33,95,100,3.91,CN,1628961616
171,port elizabeth,-33.918,25.5701,59.29,77,40,11.5,ZA,1628961617
172,bambous virieux,-20.3428,57.7575,72.21,83,75,14.97,MU,1628961617
173,simoes,-7.5989,-40.8178,90.07,26,29,9.37,BR,1628961617
174,verkhnevilyuysk,63.4453,120.3167,57.43,96,97,6.15,RU,1628961618
175,viedma,-40.8135,-62.9967,65.75,22,0,8.03,AR,1628961618
176,fort nelson,58.8053,-122.7002,69.39,37,75,9.22,CA,1628961618
177,vaini,-21.2,-175.2,68.68,58,13,14.45,TO,1628961618
178,broken hill,-31.95,141.4333,50.02,52,1,6.08,AU,1628961619
179,cabo san lucas,22.8909,-109.9124,92.61,62,20,0.0,MX,1628961619
180,klaksvik,62.2266,-6.589,50.92,95,100,13.67,FO,1628961619
181,lata,40.1629,-8.3327,92.05,28,81,7.74,PT,1628961620
182,ayna,-12.65,-73.9167,81.1,63,79,3.67,PE,1628961620
183,lebu,-37.6167,-73.65,52.43,70,98,5.1,CL,1628961620
